config_id,canonical_config_id,experiment_family,method,display_method,dataset,setting,evaluation_mode,budget_or_alpha,artifact_path,artifact_clean_win,artifact_mixed_tradeoff,clean_win,near_clean,mixed_tradeoff,dominated,pareto_label,win_count,loss_count,protected_loss_count,target_gain_count,target_loss_count,target_gain_minus_protected_loss,win_metrics,loss_metrics,protected_loss_metrics,target_gain_metrics,target_loss_metrics,runtime_device,is_canonical
rank_blend_frontier|adaptive_risk_parity_safe_hvg|duo8_pbmc|0.75,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_rank_blend_frontier_20260424_v1\adaptive_risk_parity_safe_hvg__duo8_pbmc__alpha_0p75|0.75,rank_blend_frontier,adaptive_risk_parity_safe_hvg,rank_blend:risk_parity_safe,duo8_pbmc,official_partial_discrete,discrete,0.75,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_rank_blend_frontier_20260424_v1\adaptive_risk_parity_safe_hvg__duo8_pbmc__alpha_0p75,False,True,False,False,True,False,mixed_tradeoff,3,1,1,2,0,1.0,"var_ratio,ari,nmi",lisi,lisi,"ari,nmi",,cuda,True
rank_blend_frontier|adaptive_risk_parity_safe_hvg|pbmc_cite|0.10,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_rank_blend_frontier_20260424_v1\adaptive_risk_parity_safe_hvg__pbmc_cite__alpha_0p10|0.10,rank_blend_frontier,adaptive_risk_parity_safe_hvg,rank_blend:risk_parity_safe,pbmc_cite,official_partial_continuous,continuous,0.10,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_rank_blend_frontier_20260424_v1\adaptive_risk_parity_safe_hvg__pbmc_cite__alpha_0p10,False,True,False,False,True,False,mixed_tradeoff,1,5,3,0,2,-3.0,knn_ratio,"var_ratio,dist_cor,three_nn,max_ari,max_nmi","var_ratio,dist_cor,three_nn",,"max_ari,max_nmi",cuda,True
rank_blend_frontier|adaptive_risk_parity_safe_hvg|pbmc_cite|0.25,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_rank_blend_frontier_20260424_v1\adaptive_risk_parity_safe_hvg__pbmc_cite__alpha_0p25|0.25,rank_blend_frontier,adaptive_risk_parity_safe_hvg,rank_blend:risk_parity_safe,pbmc_cite,official_partial_continuous,continuous,0.25,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_rank_blend_frontier_20260424_v1\adaptive_risk_parity_safe_hvg__pbmc_cite__alpha_0p25,False,True,False,False,True,False,mixed_tradeoff,3,3,2,1,1,-1.0,"dist_cor,knn_ratio,max_ari","var_ratio,three_nn,max_nmi","var_ratio,three_nn",max_ari,max_nmi,cuda,True
rank_blend_frontier|adaptive_risk_parity_safe_hvg|pbmc_cite|0.50,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_rank_blend_frontier_20260424_v1\adaptive_risk_parity_safe_hvg__pbmc_cite__alpha_0p50|0.50,rank_blend_frontier,adaptive_risk_parity_safe_hvg,rank_blend:risk_parity_safe,pbmc_cite,official_partial_continuous,continuous,0.50,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_rank_blend_frontier_20260424_v1\adaptive_risk_parity_safe_hvg__pbmc_cite__alpha_0p50,False,True,False,False,True,False,mixed_tradeoff,3,3,1,0,2,-1.0,"var_ratio,dist_cor,knn_ratio","three_nn,max_ari,max_nmi",three_nn,,"max_ari,max_nmi",cuda,True
rank_blend_frontier|adaptive_risk_parity_safe_hvg|pbmc_cite|0.75,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_rank_blend_frontier_20260424_v1\adaptive_risk_parity_safe_hvg__pbmc_cite__alpha_0p75|0.75,rank_blend_frontier,adaptive_risk_parity_safe_hvg,rank_blend:risk_parity_safe,pbmc_cite,official_partial_continuous,continuous,0.75,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_rank_blend_frontier_20260424_v1\adaptive_risk_parity_safe_hvg__pbmc_cite__alpha_0p75,False,True,False,False,True,False,mixed_tradeoff,5,1,1,2,0,1.0,"var_ratio,dist_cor,knn_ratio,max_ari,max_nmi",three_nn,three_nn,"max_ari,max_nmi",,cuda,True
rank_blend_frontier|adaptive_spectral_locality_hvg|duo8_pbmc|0.10,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_rank_blend_frontier_20260424_v1\adaptive_spectral_locality_hvg__duo8_pbmc__alpha_0p10|0.10,rank_blend_frontier,adaptive_spectral_locality_hvg,rank_blend:spectral_locality,duo8_pbmc,official_partial_discrete,discrete,0.10,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_rank_blend_frontier_20260424_v1\adaptive_spectral_locality_hvg__duo8_pbmc__alpha_0p10,False,True,False,False,True,False,mixed_tradeoff,3,1,1,2,0,1.0,"var_ratio,ari,nmi",lisi,lisi,"ari,nmi",,cuda,True
rank_blend_frontier|adaptive_spectral_locality_hvg|duo8_pbmc|0.25,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_rank_blend_frontier_20260424_v1\adaptive_spectral_locality_hvg__duo8_pbmc__alpha_0p25|0.25,rank_blend_frontier,adaptive_spectral_locality_hvg,rank_blend:spectral_locality,duo8_pbmc,official_partial_discrete,discrete,0.25,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_rank_blend_frontier_20260424_v1\adaptive_spectral_locality_hvg__duo8_pbmc__alpha_0p25,False,True,False,False,True,False,mixed_tradeoff,1,3,1,0,2,-1.0,var_ratio,"lisi,ari,nmi",lisi,,"ari,nmi",cuda,True
rank_blend_frontier|adaptive_spectral_locality_hvg|duo8_pbmc|0.50,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_rank_blend_frontier_20260424_v1\adaptive_spectral_locality_hvg__duo8_pbmc__alpha_0p50|0.50,rank_blend_frontier,adaptive_spectral_locality_hvg,rank_blend:spectral_locality,duo8_pbmc,official_partial_discrete,discrete,0.50,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_rank_blend_frontier_20260424_v1\adaptive_spectral_locality_hvg__duo8_pbmc__alpha_0p50,False,True,False,False,True,False,mixed_tradeoff,1,3,1,0,2,-1.0,var_ratio,"lisi,ari,nmi",lisi,,"ari,nmi",cuda,True
rank_blend_frontier|adaptive_spectral_locality_hvg|duo8_pbmc|0.75,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_rank_blend_frontier_20260424_v1\adaptive_spectral_locality_hvg__duo8_pbmc__alpha_0p75|0.75,rank_blend_frontier,adaptive_spectral_locality_hvg,rank_blend:spectral_locality,duo8_pbmc,official_partial_discrete,discrete,0.75,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_rank_blend_frontier_20260424_v1\adaptive_spectral_locality_hvg__duo8_pbmc__alpha_0p75,False,True,False,False,True,False,mixed_tradeoff,3,1,1,2,0,1.0,"var_ratio,ari,nmi",lisi,lisi,"ari,nmi",,cuda,True
rank_blend_frontier|adaptive_spectral_locality_hvg|pbmc_cite|0.10,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_rank_blend_frontier_20260424_v1\adaptive_spectral_locality_hvg__pbmc_cite__alpha_0p10|0.10,rank_blend_frontier,adaptive_spectral_locality_hvg,rank_blend:spectral_locality,pbmc_cite,official_partial_continuous,continuous,0.10,D:\code_py\sc-RNAseq\artifacts_benchmarkhvg_rank_blend_frontier_20260424_v1\adaptive_spectral_locality_hvg__pbmc_cite__alpha_0p10,False,True,False,False,True,False,mixed_tradeoff,1,5,3,0,2,-3.0,knn_ratio,"var_ratio,dist_cor,three_nn,max_ari,max_nmi","var_ratio,dist_cor,three_nn",,"max_ari,max_nmi",cuda,True
